date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,18,10,0.0,11.0,4,29,09:43 AM,10:00 PM,07:06 AM,06:05 PM,7,13,13,13,20,1,66,0.0,1018,18,17,312,12,Kair
2019-02-10,18,9,0.0,8.6,3,37,10:15 AM,10:53 PM,07:05 AM,06:06 PM,7,13,13,13,14,54,69,0.0,1020,18,14,297,8,Kair
2019-02-11,20,11,0.0,11.0,5,44,10:48 AM,11:49 PM,07:04 AM,06:07 PM,9,15,15,15,10,27,67,0.0,1020,20,14,305,6,Kair
2019-02-12,22,14,0.0,11.1,5,52,11:23 AM,No moonset,07:03 AM,06:08 PM,12,17,17,17,8,25,74,0.0,1020,22,13,256,4,Kair
2019-02-13,25,14,0.0,11.1,5,60,12:02 PM,12:46 AM,07:03 AM,06:08 PM,13,19,20,19,5,24,68,0.0,1019,25,12,182,3,Kair
2019-02-14,22,15,0.0,10.1,4,67,12:46 PM,01:46 AM,07:02 AM,06:09 PM,13,18,18,18,22,48,76,1.0,1016,22,13,114,13,Kair
2019-02-15,20,14,0.0,5.5,4,75,01:38 PM,02:47 AM,07:01 AM,06:10 PM,14,16,17,16,14,79,86,14.0,1015,20,11,150,8,Kair
2019-02-16,20,12,0.0,7.1,4,82,02:35 PM,03:50 AM,07:00 AM,06:11 PM,13,15,15,15,12,50,87,1.0,1016,20,13,311,7,Kair
2019-02-17,20,12,0.0,11.5,5,90,03:40 PM,04:51 AM,06:59 AM,06:12 PM,12,15,15,15,20,11,81,0.0,1013,20,15,295,13,Kair
2019-02-18,23,12,0.0,11.5,4,97,04:48 PM,05:49 AM,06:58 AM,06:12 PM,10,17,18,17,12,25,67,0.8,1010,23,13,241,7,Kair
2019-02-19,23,13,0.0,11.6,4,100,05:58 PM,06:42 AM,06:57 AM,06:13 PM,13,17,18,17,17,34,77,0.9,1013,23,11,162,10,Kair
2019-02-20,19,14,0.0,5.8,4,88,07:08 PM,07:30 AM,06:56 AM,06:14 PM,13,16,16,16,22,58,78,1.0,1017,19,9,93,12,Kair
2019-02-21,25,13,0.0,10.1,5,80,08:16 PM,08:13 AM,06:55 AM,06:14 PM,12,19,19,19,26,35,65,0.3,1017,25,10,117,15,Kair
2019-02-22,24,16,0.0,11.6,6,73,09:22 PM,08:54 AM,06:54 AM,06:15 PM,14,19,20,19,18,20,73,0.5,1016,24,10,307,12,Kair
