date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,9,2,0.0,3.6,2,29,09:42 AM,10:03 PM,07:43 AM,05:08 PM,4,3,7,3,50,85,80,12.1,998,9,14,224,30,Krakow
2019-02-10,7,1,0.0,3.6,2,37,09:59 AM,11:13 PM,07:41 AM,05:10 PM,4,1,5,1,39,90,88,9.2,996,7,12,204,24,Krakow
2019-02-11,5,2,0.0,5.3,1,44,10:17 AM,No moonset,07:39 AM,05:12 PM,0,-1,4,-1,42,63,78,5.6,1004,5,12,302,27,Krakow
2019-02-12,5,-1,0.3,8.7,1,52,10:38 AM,12:23 AM,07:37 AM,05:14 PM,-1,-2,2,-2,30,54,78,0.6,1026,5,12,297,19,Krakow
2019-02-13,7,1,0.0,3.7,2,60,11:04 AM,01:37 AM,07:35 AM,05:16 PM,4,2,5,2,33,95,91,0.4,1030,7,12,263,21,Krakow
2019-02-14,8,3,0.0,8.7,2,67,11:37 AM,02:51 AM,07:33 AM,05:18 PM,3,3,5,3,19,33,85,0.0,1034,8,11,254,12,Krakow
2019-02-15,10,2,0.0,8.7,3,75,12:19 PM,04:04 AM,07:31 AM,05:20 PM,1,3,5,3,15,0,74,0.0,1033,10,13,224,8,Krakow
2019-02-16,11,4,0.0,8.7,3,82,01:15 PM,05:13 AM,07:29 AM,05:22 PM,1,4,7,4,25,8,70,0.0,1025,11,14,213,14,Krakow
2019-02-17,11,4,0.0,8.7,3,90,02:24 PM,06:11 AM,07:27 AM,05:24 PM,4,5,7,5,17,33,83,0.0,1023,11,14,193,9,Krakow
2019-02-18,11,4,0.0,8.7,3,97,03:45 PM,06:58 AM,07:25 AM,05:26 PM,4,5,7,5,19,23,83,0.0,1018,11,11,194,10,Krakow
2019-02-19,9,4,0.0,3.8,2,100,05:12 PM,07:35 AM,07:22 AM,05:28 PM,4,3,6,3,32,74,83,0.8,1013,9,10,246,19,Krakow
2019-02-20,9,3,0.0,3.8,2,88,06:40 PM,08:05 AM,07:20 AM,05:30 PM,3,3,6,3,27,91,84,0.4,1019,9,10,260,17,Krakow
2019-02-21,9,6,0.0,3.8,2,80,08:07 PM,08:29 AM,07:18 AM,05:32 PM,5,5,8,5,29,95,85,1.8,1022,9,6,263,19,Krakow
2019-02-22,4,0,0.0,8.7,1,73,09:32 PM,08:52 AM,07:16 AM,05:34 PM,-0,0,4,0,24,37,75,0.2,1036,4,10,119,16,Krakow
2019-02-23,5,-1,0.0,8.7,2,65,10:53 PM,09:13 AM,07:14 AM,05:36 PM,-9,-3,1,-3,19,15,50,0.0,1042,5,18,160,12,Krakow
2019-02-24,9,0,0.0,8.7,3,57,No moonrise,09:35 AM,07:11 AM,05:38 PM,-5,2,4,2,14,15,51,0.0,1038,9,11,236,8,Krakow
2019-02-25,11,2,0.0,8.7,3,50,12:11 AM,09:59 AM,07:09 AM,05:40 PM,0,4,5,4,16,5,70,0.0,1037,11,10,294,9,Krakow
2019-02-26,11,2,0.0,8.7,3,42,01:26 AM,10:26 AM,07:07 AM,05:42 PM,2,4,6,4,17,21,78,0.0,1034,11,10,305,9,Krakow
2019-02-27,13,3,0.0,8.7,3,35,02:35 AM,10:59 AM,07:05 AM,05:44 PM,2,5,7,5,18,4,71,0.0,1026,13,10,253,10,Krakow
2019-02-28,10,4,0.0,8.7,2,27,03:38 AM,11:39 AM,07:02 AM,05:46 PM,4,4,7,4,24,20,83,0.0,1012,10,10,292,14,Krakow
2019-03-01,8,2,0.0,7.1,2,26,04:33 AM,12:25 PM,07:00 AM,05:48 PM,2,3,5,3,11,67,82,0.0,1012,8,8,263,8,Krakow
2019-03-02,5,3,0.4,4.1,1,19,05:19 AM,01:20 PM,06:58 AM,05:50 PM,1,1,4,1,19,89,80,1.1,1014,5,9,236,12,Krakow
2019-03-03,9,4,0.0,4.1,2,12,05:56 AM,02:20 PM,06:55 AM,05:52 PM,6,4,8,4,38,100,88,6.8,1004,9,9,226,23,Krakow
2019-03-04,11,6,0.0,4.1,2,4,06:26 AM,03:24 PM,06:53 AM,05:54 PM,5,5,9,5,49,94,76,5.6,991,11,8,228,32,Krakow
2019-03-05,7,4,0.0,4.1,2,0,06:51 AM,04:30 PM,06:50 AM,05:56 PM,1,1,6,1,43,80,74,0.9,999,7,10,262,29,Krakow
2019-03-06,9,1,0.0,4.2,2,0,07:13 AM,05:38 PM,06:48 AM,05:57 PM,3,2,5,2,31,64,81,0.6,1006,9,8,186,18,Krakow
2019-03-07,13,6,0.0,4.2,3,3,07:31 AM,06:46 PM,06:46 AM,05:59 PM,5,6,9,6,41,81,73,4.2,994,13,9,204,26,Krakow
2019-03-08,7,4,0.0,7.2,2,10,07:49 AM,07:55 PM,06:43 AM,06:01 PM,1,2,6,2,48,79,68,2.0,1002,7,7,249,32,Krakow
2019-03-09,8,4,0.0,5.8,2,17,08:05 AM,09:04 PM,06:41 AM,06:03 PM,2,2,6,2,46,85,77,8.8,1004,8,8,246,30,Krakow
2019-03-10,6,3,0.0,5.8,2,24,08:23 AM,10:14 PM,06:38 AM,06:05 PM,1,1,4,1,28,81,81,8.0,1001,6,9,231,18,Krakow
2019-03-11,5,1,4.0,5.9,1,32,08:43 AM,11:27 PM,06:36 AM,06:07 PM,1,-2,3,-2,31,80,87,9.8,1008,5,5,278,19,Krakow
2019-03-12,7,-0,0.0,5.9,1,39,09:06 AM,No moonset,06:34 AM,06:09 PM,0,-1,3,-1,31,64,82,0.9,1014,7,8,229,19,Krakow
2019-03-13,6,4,0.0,5.9,2,46,09:35 AM,12:39 AM,06:31 AM,06:10 PM,2,1,5,1,46,95,78,7.5,998,6,8,225,30,Krakow
2019-03-14,6,1,0.0,5.9,2,54,10:12 AM,01:52 AM,06:29 AM,06:12 PM,3,1,5,1,42,94,85,9.9,996,6,7,248,27,Krakow
2019-03-15,8,4,0.0,5.9,2,61,11:00 AM,02:59 AM,06:26 AM,06:14 PM,3,2,6,2,44,88,81,5.0,996,8,7,263,28,Krakow
2019-03-16,6,-2,0.0,6.0,1,68,12:02 PM,04:00 AM,06:24 AM,06:16 PM,3,0,4,0,39,76,82,6.1,1002,6,9,248,24,Krakow
2019-03-17,8,4,0.0,6.0,2,75,01:16 PM,04:50 AM,06:22 AM,06:18 PM,4,3,7,3,39,79,81,3.3,998,8,15,231,25,Krakow
2019-03-18,6,3,0.0,6.0,2,83,02:38 PM,05:30 AM,06:19 AM,06:20 PM,0,-1,4,-1,45,70,74,2.1,1008,6,16,260,29,Krakow
2019-03-19,7,1,0.0,8.8,1,90,04:05 PM,06:02 AM,06:17 AM,06:22 PM,-0,0,4,0,24,36,76,0.1,1024,7,11,283,15,Krakow
2019-03-20,9,1,0.0,7.4,2,97,05:33 PM,06:28 AM,06:14 AM,06:23 PM,3,3,5,3,21,56,83,0.0,1031,9,9,244,13,Krakow
2019-03-21,15,7,0.0,7.4,3,100,06:59 PM,06:51 AM,06:12 AM,06:25 PM,8,9,10,9,20,74,87,0.1,1032,15,5,261,13,Krakow
2019-03-22,14,6,0.0,8.8,3,88,08:24 PM,07:13 AM,06:09 AM,06:27 PM,8,9,10,9,14,48,87,0.2,1031,14,6,180,8,Krakow
2019-03-23,13,6,0.0,10.2,3,81,09:47 PM,07:35 AM,06:07 AM,06:29 PM,7,7,9,7,22,36,84,0.1,1027,13,8,273,13,Krakow
2019-03-24,9,3,0.0,11.6,3,74,11:06 PM,07:58 AM,06:05 AM,06:31 PM,0,4,6,4,14,29,70,0.0,1026,9,10,310,8,Krakow
2019-03-25,8,3,0.0,8.9,2,66,No moonrise,08:24 AM,06:02 AM,06:33 PM,1,1,5,1,29,63,77,2.1,1015,8,10,296,19,Krakow
2019-03-26,6,2,0.0,9.1,1,59,12:20 AM,08:55 AM,06:00 AM,06:35 PM,2,0,4,0,31,66,85,0.3,1024,6,10,297,19,Krakow
2019-03-27,8,3,0.0,8.0,2,52,01:29 AM,09:33 AM,05:57 AM,06:36 PM,5,3,6,3,25,98,91,0.8,1028,8,7,278,16,Krakow
2019-03-28,10,7,0.0,8.0,2,45,02:27 AM,10:18 AM,05:55 AM,06:38 PM,7,6,8,6,19,92,93,1.7,1032,10,13,295,12,Krakow
2019-03-29,15,6,0.0,10.6,3,37,03:18 AM,11:11 AM,05:53 AM,06:40 PM,7,8,10,8,14,52,84,0.0,1031,15,19,256,9,Krakow
2019-03-30,16,7,0.0,12.9,3,30,03:58 AM,12:09 PM,05:50 AM,06:42 PM,7,10,11,10,15,54,77,0.3,1024,16,19,235,10,Krakow
2019-03-31,9,2,0.0,13.0,2,26,04:30 AM,01:13 PM,05:48 AM,06:44 PM,2,3,6,3,21,35,75,0.4,1024,9,10,301,15,Krakow
2019-04-01,9,-0,0.0,13.0,3,9,04:57 AM,02:19 PM,05:45 AM,06:46 PM,-3,1,4,1,19,0,60,0.0,1027,9,10,89,12,Krakow
2019-04-02,12,2,0.0,13.1,3,1,05:19 AM,03:27 PM,05:43 AM,06:48 PM,0,3,7,3,35,11,62,0.0,1013,12,10,132,21,Krakow
2019-04-03,14,7,0.0,8.2,3,0,05:38 AM,04:34 PM,05:41 AM,06:49 PM,8,9,11,9,22,86,83,5.3,1003,14,7,136,12,Krakow
2019-04-04,17,8,0.0,13.1,4,0,05:55 AM,05:44 PM,05:38 AM,06:51 PM,7,11,12,11,25,15,74,0.5,999,17,10,111,14,Krakow
2019-04-05,17,9,0.0,12.0,3,0,06:12 AM,06:54 PM,05:36 AM,06:53 PM,8,12,13,12,16,40,77,0.4,1004,17,10,117,9,Krakow
2019-04-06,19,8,0.0,13.2,4,6,06:29 AM,08:05 PM,05:33 AM,06:55 PM,8,13,14,13,22,22,73,0.0,1008,19,9,78,13,Krakow
2019-04-07,18,9,0.0,13.3,4,14,06:48 AM,09:18 PM,05:31 AM,06:57 PM,5,13,14,13,22,17,63,0.0,1009,18,10,80,13,Krakow
2019-04-08,16,7,0.0,13.3,4,21,07:10 AM,10:31 PM,05:29 AM,06:59 PM,4,10,12,10,20,15,65,0.0,1012,16,10,45,13,Krakow
2019-04-09,10,2,0.0,13.8,3,29,07:37 AM,11:45 PM,05:26 AM,07:01 PM,1,2,6,2,26,9,72,0.0,1017,10,10,44,18,Krakow
2019-04-10,8,-1,0.0,11.0,2,36,08:11 AM,No moonset,05:24 AM,07:02 PM,-2,0,3,0,21,40,71,0.1,1020,8,8,51,14,Krakow
2019-04-11,6,-1,0.0,12.2,1,44,08:54 AM,12:54 AM,05:21 AM,07:04 PM,-2,-1,2,-1,21,40,76,0.3,1025,6,10,55,13,Krakow
2019-04-12,5,-2,0.1,9.8,1,52,09:50 AM,01:56 AM,05:19 AM,07:06 PM,-3,-2,2,-2,24,62,72,0.4,1027,5,10,49,16,Krakow
2019-04-13,6,-0,0.3,8.7,1,59,10:58 AM,02:48 AM,05:17 AM,07:08 PM,-2,-1,3,-1,24,70,74,2.0,1026,6,9,57,16,Krakow
2019-04-14,10,2,0.0,8.7,2,67,12:15 PM,03:30 AM,05:14 AM,07:10 PM,1,2,5,2,27,87,72,0.8,1027,10,8,58,18,Krakow
2019-04-15,11,2,0.0,14.0,3,74,01:38 PM,04:03 AM,05:12 AM,07:12 PM,0,3,7,3,27,16,67,0.0,1029,11,10,66,18,Krakow
2019-04-16,13,1,0.0,14.0,3,82,03:03 PM,04:30 AM,05:10 AM,07:14 PM,0,4,7,4,26,3,66,0.0,1025,13,10,92,16,Krakow
2019-04-17,16,4,0.0,14.1,4,89,04:28 PM,04:53 AM,05:07 AM,07:15 PM,3,7,10,7,27,7,64,0.0,1028,16,10,90,16,Krakow
2019-04-18,18,6,0.0,14.1,4,97,05:54 PM,05:14 AM,05:05 AM,07:17 PM,5,11,13,11,26,6,68,0.0,1031,18,10,74,15,Krakow
2019-04-19,19,7,0.0,14.2,5,100,07:17 PM,05:35 AM,05:03 AM,07:19 PM,5,13,15,13,24,0,62,0.0,1034,19,10,78,14,Krakow
2019-04-20,17,4,0.0,13.4,3,88,08:39 PM,05:57 AM,05:00 AM,07:21 PM,2,10,12,10,20,19,59,0.0,1032,17,10,49,11,Krakow
2019-04-21,19,5,0.0,14.5,4,81,09:58 PM,06:21 AM,04:58 AM,07:23 PM,4,12,14,12,17,1,59,0.0,1024,19,10,94,9,Krakow
2019-04-22,16,7,0.0,14.5,4,73,11:12 PM,06:50 AM,04:56 AM,07:25 PM,3,10,12,10,30,2,58,0.0,1018,16,10,100,18,Krakow
2019-04-23,16,10,0.0,13.4,4,65,No moonrise,07:25 AM,04:54 AM,07:26 PM,6,11,13,11,42,27,66,1.1,1011,16,10,102,27,Krakow
2019-04-24,21,10,0.0,13.4,4,58,12:17 AM,08:08 AM,04:51 AM,07:28 PM,10,14,15,14,33,34,73,1.5,1006,21,10,123,21,Krakow
2019-04-25,20,12,0.0,13.5,4,50,01:12 AM,08:58 AM,04:49 AM,07:30 PM,10,15,15,15,20,38,72,7.1,1010,20,9,169,12,Krakow
2019-04-26,19,12,0.0,10.3,4,43,01:57 AM,09:56 AM,04:47 AM,07:32 PM,11,14,15,14,30,64,77,0.5,1009,19,15,192,19,Krakow
2019-04-27,18,9,0.0,14.5,3,35,02:33 AM,10:59 AM,04:45 AM,07:34 PM,8,12,14,12,22,53,76,1.8,1012,18,17,253,15,Krakow
2019-04-28,13,8,0.0,11.4,3,28,03:01 AM,12:05 PM,04:43 AM,07:36 PM,7,8,10,8,14,74,83,6.1,1018,13,16,262,10,Krakow
2019-04-29,9,6,0.0,9.4,2,20,03:25 AM,01:12 PM,04:41 AM,07:37 PM,7,5,8,5,24,75,92,5.1,1020,9,17,219,15,Krakow
2019-04-30,17,2,0.0,14.5,4,13,03:44 AM,02:20 PM,04:38 AM,07:39 PM,4,8,10,8,22,17,72,0.0,1020,17,18,116,13,Krakow
2019-05-01,14,8,0.0,11.4,3,12,04:02 AM,03:29 PM,04:36 AM,07:41 PM,7,8,10,8,28,68,83,0.7,1013,14,19,291,19,Krakow
