date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,24,18,0.0,5.6,5,29,09:56 AM,10:21 PM,07:00 AM,06:10 PM,19,23,23,22,35,57,78,1.4,1023,24,19,62,23,Miami
2019-02-10,24,16,0.0,5.6,5,37,10:30 AM,11:15 PM,07:00 AM,06:11 PM,19,23,23,21,38,61,77,1.5,1022,24,14,84,25,Miami
2019-02-11,25,18,0.0,7.2,5,44,11:06 AM,No moonset,06:59 AM,06:11 PM,20,24,24,23,32,60,80,0.9,1021,25,12,113,19,Miami
2019-02-12,26,22,0.0,8.7,5,52,11:44 AM,12:09 AM,06:58 AM,06:12 PM,21,25,25,25,34,59,83,8.4,1018,26,10,149,19,Miami
2019-02-13,23,19,0.0,7.2,5,60,12:26 PM,01:06 AM,06:57 AM,06:13 PM,20,23,23,23,26,72,87,11.6,1017,23,11,159,16,Miami
2019-02-14,24,17,0.0,7.2,5,67,01:15 PM,02:06 AM,06:57 AM,06:13 PM,18,22,22,22,33,74,81,2.8,1018,24,13,113,16,Miami
2019-02-15,24,20,0.0,8.7,5,75,02:09 PM,03:07 AM,06:56 AM,06:14 PM,19,23,23,23,16,58,79,0.5,1016,24,12,99,10,Miami
2019-02-16,24,18,0.0,11.6,6,82,03:10 PM,04:09 AM,06:55 AM,06:15 PM,18,22,22,22,18,15,77,0.1,1014,24,15,238,11,Miami
2019-02-17,26,20,0.0,10.2,5,90,04:15 PM,05:10 AM,06:54 AM,06:15 PM,20,23,23,23,19,24,83,0.2,1016,26,15,183,8,Miami
2019-02-18,25,20,0.0,10.2,5,97,05:24 PM,06:06 AM,06:54 AM,06:16 PM,21,25,25,24,29,45,82,0.7,1018,25,11,157,12,Miami
2019-02-19,26,22,0.0,11.6,6,100,06:33 PM,06:58 AM,06:53 AM,06:16 PM,21,25,25,25,32,25,81,0.7,1019,26,10,115,16,Miami
2019-02-20,26,24,0.0,11.6,7,88,07:40 PM,07:46 AM,06:52 AM,06:17 PM,21,26,26,25,36,34,80,0.5,1018,26,10,124,21,Miami
2019-02-21,26,23,0.0,11.6,6,80,08:45 PM,08:29 AM,06:51 AM,06:18 PM,21,26,26,25,30,22,80,0.3,1019,26,10,126,20,Miami
2019-02-22,26,22,0.0,10.2,5,73,09:48 PM,09:11 AM,06:50 AM,06:18 PM,21,25,25,25,23,47,82,0.4,1020,26,10,119,13,Miami
2019-02-23,27,23,0.0,8.7,6,65,10:49 PM,09:52 AM,06:50 AM,06:19 PM,22,26,26,25,28,58,80,1.4,1020,27,18,130,16,Miami
2019-02-24,27,23,0.0,10.2,6,57,11:48 PM,10:32 AM,06:49 AM,06:19 PM,21,26,26,25,26,54,80,2.2,1019,27,11,173,14,Miami
2019-02-25,25,21,0.0,7.3,5,50,No moonrise,11:13 AM,06:48 AM,06:20 PM,21,25,25,24,29,73,82,1.8,1021,25,10,120,16,Miami
2019-02-26,25,22,0.0,8.7,5,42,12:46 AM,11:56 AM,06:47 AM,06:21 PM,20,25,25,24,37,65,79,4.0,1022,25,10,83,18,Miami
2019-02-27,26,21,0.0,10.2,5,35,01:42 AM,12:41 PM,06:46 AM,06:21 PM,20,25,25,24,21,61,79,8.7,1020,26,9,180,13,Miami
2019-02-28,24,20,0.0,11.6,6,27,02:35 AM,01:29 PM,06:45 AM,06:22 PM,21,23,23,23,13,20,84,2.6,1018,24,10,226,8,Miami
2019-03-01,25,21,0.0,11.6,6,26,03:26 AM,02:18 PM,06:44 AM,06:22 PM,20,24,24,24,18,10,79,0.0,1018,25,10,81,9,Miami
2019-03-02,24,22,0.0,11.6,6,19,04:13 AM,03:09 PM,06:43 AM,06:23 PM,20,24,24,24,14,10,78,0.2,1019,24,10,122,9,Miami
2019-03-03,26,19,0.0,11.6,5,12,04:57 AM,04:00 PM,06:42 AM,06:23 PM,19,24,24,23,21,24,76,0.8,1018,26,10,154,12,Miami
2019-03-04,30,18,0.0,11.6,7,4,05:38 AM,04:52 PM,06:41 AM,06:24 PM,20,25,25,25,19,13,72,0.0,1016,30,10,245,11,Miami
2019-03-05,27,21,0.0,8.8,5,0,06:15 AM,05:44 PM,06:40 AM,06:24 PM,20,24,24,24,20,35,78,2.0,1018,27,10,298,11,Miami
2019-03-06,23,14,0.0,11.6,5,0,06:51 AM,06:35 PM,06:39 AM,06:25 PM,14,20,20,20,35,21,71,1.2,1021,23,10,169,21,Miami
2019-03-07,22,15,0.0,11.6,5,3,07:25 AM,07:27 PM,06:38 AM,06:25 PM,13,19,20,19,26,42,69,0.0,1023,22,10,55,18,Miami
2019-03-08,23,20,0.0,5.9,5,10,07:58 AM,08:18 PM,06:37 AM,06:26 PM,16,24,24,22,29,79,67,2.3,1022,23,10,89,22,Miami
2019-03-09,26,20,0.0,10.2,5,17,08:31 AM,09:11 PM,06:36 AM,06:26 PM,19,25,25,24,28,56,71,1.0,1020,26,10,113,21,Miami
2019-03-10,27,23,0.0,10.2,6,24,09:06 AM,10:04 PM,06:35 AM,06:27 PM,20,27,27,25,30,41,75,1.1,1020,27,10,122,22,Miami
2019-03-11,26,24,0.0,11.6,7,32,09:43 AM,11:00 PM,06:34 AM,06:27 PM,20,26,26,25,23,12,74,0.0,1020,26,10,104,18,Miami
2019-03-12,26,21,0.0,11.6,6,39,10:23 AM,11:57 PM,06:33 AM,06:28 PM,20,25,25,24,12,14,75,0.3,1019,26,10,154,12,Miami
2019-03-13,25,20,0.0,6.0,5,46,11:08 AM,No moonset,06:32 AM,06:28 PM,20,26,26,24,38,71,74,1.4,1019,25,10,73,28,Miami
2019-03-14,25,23,0.0,10.2,5,54,11:59 AM,12:56 AM,06:31 AM,06:29 PM,19,26,26,24,34,60,73,0.6,1019,25,10,98,26,Miami
2019-03-15,26,22,0.0,10.2,6,61,12:55 PM,01:56 AM,06:30 AM,06:29 PM,20,26,26,25,28,51,73,0.2,1020,26,10,123,22,Miami
2019-03-16,26,24,0.0,8.8,6,68,01:56 PM,02:55 AM,06:29 AM,06:30 PM,19,27,27,25,15,60,67,0.0,1020,26,10,133,12,Miami
2019-03-17,27,23,0.0,10.2,6,75,03:01 PM,03:52 AM,06:28 AM,06:30 PM,19,27,27,25,11,64,65,1.9,1018,27,19,181,9,Miami
2019-03-18,25,23,0.0,6.0,5,83,04:09 PM,04:44 AM,06:27 AM,06:31 PM,19,26,26,24,31,81,75,13.7,1017,25,17,44,22,Miami
