date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,-4,-9,0.5,3.4,1,29,10:00 AM,10:17 PM,08:08 AM,05:20 PM,-7,-11,-6,-11,19,95,94,0.6,1015,-4,17,183,12,Moscow
2019-02-10,-4,-7,0.9,3.4,1,37,10:15 AM,11:29 PM,08:06 AM,05:22 PM,-6,-10,-5,-10,20,99,90,1.0,1018,-4,11,206,14,Moscow
2019-02-11,-1,-8,0.5,3.5,1,44,10:31 AM,No moonset,08:04 AM,05:25 PM,-4,-8,-3,-8,23,94,93,0.7,1015,-1,10,182,15,Moscow
2019-02-12,1,-6,3.2,3.5,1,52,10:50 AM,12:42 AM,08:02 AM,05:27 PM,-1,-5,-0,-5,30,100,93,3.8,1011,1,5,176,19,Moscow
2019-02-13,-0,-6,16.5,3.5,1,60,11:13 AM,01:58 AM,08:00 AM,05:29 PM,-2,-5,-2,-5,18,98,94,19.4,1010,-0,4,225,12,Moscow
2019-02-14,-4,-11,0.1,7.0,1,67,11:43 AM,03:14 AM,07:57 AM,05:31 PM,-7,-11,-7,-11,17,71,93,0.1,1022,-4,12,264,10,Moscow
2019-02-15,2,-7,0.6,3.7,1,75,12:22 PM,04:29 AM,07:55 AM,05:33 PM,-1,-5,-0,-5,35,95,91,0.9,1016,2,10,270,21,Moscow
2019-02-16,1,-2,0.1,3.7,1,82,01:16 PM,05:39 AM,07:53 AM,05:36 PM,-0,-3,1,-3,25,96,93,0.5,1013,1,14,292,16,Moscow
2019-02-17,2,-1,0.3,3.7,1,90,02:25 PM,06:38 AM,07:51 AM,05:38 PM,-2,-5,0,-5,37,74,84,0.8,1001,2,13,290,23,Moscow
2019-02-18,-4,-8,0.3,3.7,1,97,03:48 PM,07:24 AM,07:48 AM,05:40 PM,-7,-10,-4,-10,30,77,83,0.5,1016,-4,11,336,20,Moscow
2019-02-19,-0,-10,0.0,8.7,2,100,05:18 PM,07:59 AM,07:46 AM,05:42 PM,-7,-10,-5,-10,25,27,84,0.0,1017,-0,11,240,15,Moscow
2019-02-20,2,-3,0.8,3.8,1,88,06:49 PM,08:27 AM,07:44 AM,05:44 PM,-1,-4,1,-4,30,97,92,1.0,1001,2,7,233,19,Moscow
2019-02-21,-1,-8,2.3,3.8,1,80,08:18 PM,08:49 AM,07:41 AM,05:46 PM,-5,-9,-3,-9,30,100,87,4.5,999,-1,3,300,22,Moscow
2019-02-22,-8,-10,2.2,3.8,1,73,09:46 PM,09:09 AM,07:39 AM,05:48 PM,-11,-17,-9,-17,36,91,83,3.6,1016,-8,4,118,25,Moscow
2019-02-23,-6,-12,0.4,7.1,1,65,11:10 PM,09:28 AM,07:37 AM,05:51 PM,-10,-15,-9,-15,21,71,89,0.5,1031,-6,17,268,13,Moscow
2019-02-24,1,-10,1.7,3.8,1,57,No moonrise,09:47 AM,07:34 AM,05:53 PM,-3,-6,-2,-6,17,99,96,2.2,1023,1,7,262,11,Moscow
2019-02-25,2,0,2.1,3.8,1,50,12:30 AM,10:08 AM,07:32 AM,05:55 PM,-0,-4,1,-4,25,100,93,2.5,1008,2,4,285,16,Moscow
2019-02-26,1,-1,2.6,3.9,1,42,01:48 AM,10:33 AM,07:29 AM,05:57 PM,-1,-4,0,-4,26,100,91,3.1,1005,1,4,336,17,Moscow
2019-02-27,-4,-6,0.3,5.5,1,35,03:00 AM,11:04 AM,07:27 AM,05:59 PM,-6,-9,-4,-9,19,88,89,0.5,1012,-4,9,314,13,Moscow
2019-02-28,1,-7,2.1,5.4,1,27,04:04 AM,11:42 AM,07:25 AM,06:01 PM,-1,-4,-1,-4,18,100,94,2.6,989,1,5,250,13,Moscow
2019-03-01,1,-5,4.0,5.4,1,26,05:01 AM,12:28 PM,07:22 AM,06:03 PM,-2,-4,-1,-4,13,100,96,5.2,988,1,2,129,10,Moscow
2019-03-02,-5,-12,0.0,5.4,1,19,05:47 AM,01:22 PM,07:20 AM,06:05 PM,-9,-14,-8,-14,17,80,91,0.0,1005,-5,10,291,12,Moscow
2019-03-03,-1,-9,2.3,5.5,1,12,06:23 AM,02:23 PM,07:17 AM,06:07 PM,-6,-11,-5,-11,29,73,89,4.8,1000,-1,5,256,19,Moscow
2019-03-04,0,-9,0.5,5.5,1,4,06:52 AM,03:29 PM,07:14 AM,06:09 PM,-5,-7,-4,-7,13,85,94,0.7,996,0,7,193,8,Moscow
2019-03-05,3,-5,0.0,5.5,1,0,07:16 AM,04:37 PM,07:12 AM,06:11 PM,1,-3,1,-3,26,100,97,10.3,990,3,7,211,16,Moscow
2019-03-06,0,-7,2.1,8.6,1,0,07:35 AM,05:47 PM,07:09 AM,06:13 PM,-5,-9,-3,-9,26,68,83,2.6,1001,0,7,289,19,Moscow
2019-03-07,-3,-10,0.0,8.6,1,3,07:52 AM,06:57 PM,07:07 AM,06:16 PM,-8,-12,-6,-12,22,44,84,0.0,1022,-3,10,221,15,Moscow
2019-03-08,2,-4,0.3,5.6,1,10,08:07 AM,08:08 PM,07:04 AM,06:18 PM,-1,-5,-0,-5,30,98,92,4.8,1010,2,8,199,19,Moscow
2019-03-09,3,-2,0.1,7.1,1,17,08:22 AM,09:20 PM,07:02 AM,06:20 PM,-0,-2,2,-2,29,80,83,0.5,1005,3,10,235,18,Moscow
2019-03-10,3,-1,1.7,5.8,1,24,08:37 AM,10:32 PM,06:59 AM,06:22 PM,-0,-3,1,-3,22,89,92,3.0,1000,3,8,188,14,Moscow
2019-03-11,2,-1,6.2,5.8,1,32,08:55 AM,11:47 PM,06:56 AM,06:24 PM,0,-3,1,-3,15,94,96,7.4,994,2,7,228,10,Moscow
2019-03-12,-1,-4,0.3,8.7,1,39,09:16 AM,No moonset,06:54 AM,06:26 PM,-5,-7,-3,-7,16,56,83,0.7,1003,-1,9,266,12,Moscow
2019-03-13,-2,-7,0.6,8.7,1,46,09:42 AM,01:02 AM,06:51 AM,06:28 PM,-6,-8,-4,-8,12,56,85,0.8,1011,-2,9,272,9,Moscow
2019-03-14,-1,-6,0.0,8.8,1,54,10:16 AM,02:16 AM,06:49 AM,06:30 PM,-5,-7,-3,-7,16,39,89,0.0,1017,-1,10,178,11,Moscow
2019-03-15,1,-6,0.3,5.9,1,61,11:03 AM,03:26 AM,06:46 AM,06:32 PM,-3,-6,-2,-6,25,99,89,0.5,1014,1,9,168,16,Moscow
2019-03-16,0,-4,0.9,6.0,1,68,12:03 PM,04:27 AM,06:43 AM,06:34 PM,-3,-7,-2,-7,21,97,92,1.1,1007,0,6,147,15,Moscow
2019-03-17,1,-3,0.3,6.0,1,75,01:18 PM,05:17 AM,06:41 AM,06:36 PM,-2,-5,-1,-5,18,98,94,0.3,1011,1,17,139,12,Moscow
2019-03-18,3,-1,0.3,6.0,1,83,02:42 PM,05:55 AM,06:38 AM,06:38 PM,0,-3,1,-3,25,92,93,0.5,1019,3,19,170,16,Moscow
