date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,11,9,0.0,5.0,3,29,10:21 AM,10:43 PM,08:09 AM,06:01 PM,5,8,11,8,44,96,70,5.8,1008,11,14,229,29,Paris
2019-02-10,11,7,0.0,5.0,2,37,10:42 AM,11:49 PM,08:08 AM,06:03 PM,4,6,9,6,45,96,71,27.2,1002,11,10,243,31,Paris
2019-02-11,9,5,0.0,5.0,2,44,11:05 AM,No moonset,08:06 AM,06:04 PM,2,4,7,4,20,58,72,0.5,1022,9,13,291,14,Paris
2019-02-12,9,4,0.0,10.0,3,52,11:30 AM,12:56 AM,08:05 AM,06:06 PM,2,6,6,6,6,23,74,0.0,1035,9,13,239,4,Paris
2019-02-13,11,4,0.0,10.0,3,60,12:00 PM,02:04 AM,08:03 AM,06:07 PM,1,6,7,6,8,5,67,0.0,1036,11,13,129,6,Paris
2019-02-14,11,5,0.0,10.1,3,67,12:36 PM,03:15 AM,08:01 AM,06:09 PM,1,7,8,7,10,13,64,0.0,1033,11,14,126,7,Paris
2019-02-15,16,7,0.0,10.1,4,75,01:22 PM,04:24 AM,08:00 AM,06:11 PM,3,10,11,10,11,3,61,0.0,1029,16,13,145,7,Paris
2019-02-16,16,8,0.0,10.5,4,82,02:19 PM,05:31 AM,07:58 AM,06:12 PM,5,12,13,12,10,13,66,0.0,1027,16,15,184,7,Paris
2019-02-17,16,7,0.0,10.6,3,90,03:28 PM,06:30 AM,07:56 AM,06:14 PM,3,10,12,10,16,41,59,0.0,1021,16,15,179,10,Paris
2019-02-18,14,9,0.0,10.6,4,97,04:45 PM,07:20 AM,07:54 AM,06:16 PM,6,10,11,10,12,13,68,0.0,1019,14,12,201,10,Paris
2019-02-19,13,8,0.0,10.6,3,100,06:08 PM,08:01 AM,07:53 AM,06:17 PM,5,10,10,10,7,41,71,1.8,1021,13,11,257,6,Paris
2019-02-20,13,6,0.0,10.7,3,88,07:31 PM,08:35 AM,07:51 AM,06:19 PM,5,9,10,9,7,28,75,0.0,1023,13,10,192,5,Paris
2019-02-21,18,9,0.0,10.7,4,80,08:52 PM,09:05 AM,07:49 AM,06:20 PM,8,13,13,13,5,4,74,0.0,1028,18,10,190,4,Paris
2019-02-22,17,10,0.0,10.8,4,73,10:11 PM,09:32 AM,07:47 AM,06:22 PM,8,13,13,13,7,3,73,0.0,1033,17,10,77,5,Paris
2019-02-23,16,10,0.0,10.8,4,65,11:28 PM,09:58 AM,07:45 AM,06:24 PM,6,12,13,12,13,1,67,0.0,1033,16,18,90,11,Paris
2019-02-24,15,9,0.0,10.8,4,57,No moonrise,10:24 AM,07:43 AM,06:25 PM,-1,10,11,10,11,11,43,0.0,1035,15,11,85,9,Paris
2019-02-25,17,9,0.0,10.9,4,50,12:41 AM,10:52 AM,07:41 AM,06:27 PM,3,12,13,12,10,0,53,0.0,1035,17,10,74,9,Paris
2019-02-26,20,12,0.0,10.9,5,42,01:51 AM,11:24 AM,07:40 AM,06:28 PM,8,15,15,15,8,0,64,0.0,1032,20,10,89,7,Paris
2019-02-27,22,13,0.0,10.9,5,35,02:57 AM,12:00 PM,07:38 AM,06:30 PM,10,17,17,17,5,0,67,0.0,1027,22,10,175,5,Paris
2019-02-28,12,11,0.0,7.0,3,27,03:57 AM,12:42 PM,07:36 AM,06:32 PM,8,11,12,11,20,43,75,1.5,1021,12,10,244,14,Paris
2019-03-01,12,10,0.0,5.5,3,26,04:50 AM,01:30 PM,07:34 AM,06:33 PM,6,9,11,9,23,88,74,3.3,1019,12,9,285,16,Paris
2019-03-02,13,8,0.0,7.0,3,19,05:37 AM,02:23 PM,07:32 AM,06:35 PM,6,9,10,9,20,72,74,3.8,1017,13,9,230,14,Paris
2019-03-03,13,9,0.0,5.5,3,12,06:16 AM,03:21 PM,07:30 AM,06:36 PM,7,9,11,9,34,95,76,0.7,1011,13,10,218,22,Paris
2019-03-04,10,8,0.0,5.6,2,4,06:50 AM,04:22 PM,07:28 AM,06:38 PM,3,6,10,6,43,91,64,9.2,1001,10,9,244,31,Paris
2019-03-05,11,6,0.0,5.6,2,0,07:18 AM,05:25 PM,07:26 AM,06:40 PM,4,6,9,6,31,65,71,3.1,1009,11,9,226,20,Paris
2019-03-06,12,9,0.0,5.6,3,0,07:43 AM,06:28 PM,07:24 AM,06:41 PM,6,8,11,8,32,68,71,12.5,999,12,9,183,20,Paris
2019-03-07,12,9,0.0,5.6,2,3,08:05 AM,07:32 PM,07:22 AM,06:43 PM,4,7,10,7,33,79,68,17.7,1000,12,8,237,25,Paris
2019-03-08,12,6,0.0,8.6,2,10,08:26 AM,08:36 PM,07:20 AM,06:44 PM,3,6,9,6,24,48,67,0.1,1015,12,10,244,18,Paris
2019-03-09,12,9,0.0,5.6,3,17,08:47 AM,09:42 PM,07:18 AM,06:46 PM,7,9,11,9,27,91,76,1.4,1018,12,6,242,19,Paris
2019-03-10,13,8,0.0,5.7,3,24,09:10 AM,10:48 PM,07:15 AM,06:48 PM,5,8,11,8,41,93,67,10.0,1016,13,9,257,29,Paris
2019-03-11,10,7,0.0,7.2,2,32,09:34 AM,11:56 PM,07:13 AM,06:49 PM,-2,4,8,4,31,68,52,3.6,1026,10,9,288,23,Paris
2019-03-12,13,6,0.0,8.7,2,39,10:01 AM,No moonset,07:11 AM,06:51 PM,0,5,8,5,30,47,58,4.7,1018,13,10,221,22,Paris
2019-03-13,10,5,0.0,5.7,2,46,10:34 AM,01:04 AM,07:09 AM,06:52 PM,1,4,8,4,36,67,62,2.7,1015,10,10,267,25,Paris
2019-03-14,11,7,0.0,5.7,2,54,11:15 AM,02:12 AM,07:07 AM,06:54 PM,5,6,9,6,40,100,77,16.0,1014,11,8,264,26,Paris
2019-03-15,12,10,0.0,5.8,3,61,12:05 PM,03:18 AM,07:05 AM,06:55 PM,9,9,12,9,38,100,79,7.9,1015,12,7,263,25,Paris
2019-03-16,12,10,0.0,7.2,3,68,01:06 PM,04:18 AM,07:03 AM,06:57 PM,6,8,11,8,35,77,73,0.4,1014,12,9,231,24,Paris
2019-03-17,10,8,0.0,8.7,2,75,02:17 PM,05:10 AM,07:01 AM,06:58 PM,2,6,9,6,33,65,60,4.0,1009,10,15,258,24,Paris
2019-03-18,12,5,0.0,6.2,2,83,03:36 PM,05:54 AM,06:59 AM,07:00 PM,1,6,8,6,18,51,63,0.8,1021,12,18,303,14,Paris
2019-03-19,14,6,0.0,11.6,4,90,04:58 PM,06:30 AM,06:57 AM,07:01 PM,2,10,10,10,3,11,61,0.0,1029,14,11,307,3,Paris
2019-03-20,15,8,0.0,10.3,3,97,06:20 PM,07:01 AM,06:54 AM,07:03 PM,3,11,11,11,4,30,57,0.0,1034,15,10,204,3,Paris
2019-03-21,18,9,0.0,11.6,4,100,07:42 PM,07:29 AM,06:52 AM,07:05 PM,6,13,13,13,9,11,64,0.0,1034,18,10,49,7,Paris
2019-03-22,22,12,0.0,11.6,5,88,09:01 PM,07:55 AM,06:50 AM,07:06 PM,8,17,17,17,5,0,59,0.0,1029,22,10,162,4,Paris
2019-03-23,17,12,0.0,11.6,4,81,10:18 PM,08:22 AM,06:48 AM,07:08 PM,8,14,14,14,9,6,65,0.0,1029,17,10,60,8,Paris
2019-03-24,12,8,0.0,7.6,2,74,11:33 PM,08:50 AM,06:46 AM,07:09 PM,5,8,10,8,14,47,73,0.3,1028,12,10,87,11,Paris
2019-03-25,11,7,0.0,10.3,2,66,No moonrise,09:21 AM,06:44 AM,07:11 PM,2,7,9,7,19,20,62,0.0,1029,11,10,183,16,Paris
2019-03-26,13,6,0.0,11.6,3,59,12:43 AM,09:56 AM,06:42 AM,07:12 PM,2,7,9,7,16,17,62,0.0,1033,13,10,11,13,Paris
2019-03-27,14,7,0.0,11.6,4,52,01:48 AM,10:36 AM,06:40 AM,07:14 PM,3,9,10,9,13,13,64,0.0,1034,14,10,25,11,Paris
