date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,8,0,0.0,4.1,2,29,08:59 AM,09:10 PM,06:35 AM,05:16 PM,2,3,6,3,20,87,67,2.2,1018,8,10,96,16,Tokyo
2019-02-10,7,3,0.0,8.7,3,37,09:28 AM,10:07 PM,06:34 AM,05:17 PM,-6,1,5,1,24,35,46,0.4,1024,7,14,31,20,Tokyo
2019-02-11,7,3,0.0,7.2,2,44,09:58 AM,11:05 PM,06:33 AM,05:18 PM,-3,2,5,2,15,55,59,0.0,1025,7,13,52,12,Tokyo
2019-02-12,10,5,0.0,7.2,2,52,10:30 AM,No moonset,06:32 AM,05:19 PM,-4,5,7,5,19,32,45,0.0,1024,10,13,205,15,Tokyo
2019-02-13,9,5,0.0,7.2,2,60,11:06 AM,12:04 AM,06:31 AM,05:20 PM,-6,5,7,5,15,63,40,0.2,1024,9,12,36,13,Tokyo
2019-02-14,9,4,0.0,8.7,2,67,11:46 AM,01:07 AM,06:30 AM,05:22 PM,-10,3,6,3,20,38,31,0.0,1025,9,12,64,17,Tokyo
2019-02-15,8,3,0.0,7.2,2,75,12:34 PM,02:10 AM,06:29 AM,05:23 PM,-4,3,6,3,16,41,49,0.1,1024,8,13,66,14,Tokyo
2019-02-16,13,5,0.0,8.7,2,82,01:30 PM,03:14 AM,06:28 AM,05:24 PM,-2,6,8,6,16,43,52,0.0,1011,13,13,30,13,Tokyo
2019-02-17,12,4,0.0,8.7,3,90,02:33 PM,04:16 AM,06:27 AM,05:25 PM,-9,5,8,5,22,16,28,0.0,1016,12,14,262,17,Tokyo
2019-02-18,13,8,0.0,8.7,4,97,03:43 PM,05:14 AM,06:25 AM,05:25 PM,-2,10,11,10,13,8,39,0.0,1024,13,15,216,11,Tokyo
2019-02-19,13,9,0.0,5.7,3,100,04:56 PM,06:05 AM,06:24 AM,05:26 PM,5,10,11,10,20,65,63,2.5,1023,13,9,211,14,Tokyo
2019-02-20,17,14,0.0,7.2,4,88,06:09 PM,06:50 AM,06:23 AM,05:27 PM,9,15,15,15,14,57,69,0.2,1011,17,10,112,11,Tokyo
2019-02-21,15,10,0.0,8.7,4,80,07:21 PM,07:31 AM,06:22 AM,05:28 PM,-2,11,12,11,24,29,39,3.1,1017,15,10,180,19,Tokyo
2019-02-22,14,9,0.0,8.7,4,73,08:31 PM,08:08 AM,06:21 AM,05:29 PM,2,11,12,11,12,27,50,0.0,1019,14,10,60,10,Tokyo
2019-02-23,13,9,0.0,8.7,4,65,09:38 PM,08:44 AM,06:20 AM,05:30 PM,-3,8,11,8,27,18,39,0.0,1014,13,15,98,22,Tokyo
2019-02-24,13,7,0.0,5.7,3,57,10:43 PM,09:20 AM,06:18 AM,05:31 PM,-2,9,10,9,19,39,42,0.0,1023,13,10,144,15,Tokyo
2019-02-25,19,11,0.0,5.7,4,50,11:47 PM,09:55 AM,06:17 AM,05:32 PM,8,13,14,13,18,47,65,0.2,1017,19,10,168,13,Tokyo
2019-02-26,12,10,0.0,7.2,3,42,No moonrise,10:33 AM,06:16 AM,05:33 PM,3,10,11,10,17,84,55,0.9,1017,12,8,80,13,Tokyo
2019-02-27,12,9,0.0,5.7,2,35,12:47 AM,11:14 AM,06:15 AM,05:34 PM,-2,8,10,8,14,69,44,0.7,1024,12,9,84,12,Tokyo
2019-02-28,10,9,0.0,4.2,2,27,01:45 AM,11:58 AM,06:13 AM,05:35 PM,6,7,9,7,19,94,80,20.8,1015,10,7,101,15,Tokyo
2019-03-01,12,6,0.0,5.7,2,26,02:38 AM,12:45 PM,06:12 AM,05:36 PM,4,8,10,8,10,77,66,2.8,1015,12,10,85,8,Tokyo
2019-03-02,15,8,0.0,8.7,4,19,03:28 AM,01:36 PM,06:11 AM,05:37 PM,-4,10,12,10,18,32,35,0.0,1019,15,10,138,15,Tokyo
2019-03-03,10,2,0.0,4.2,2,12,04:12 AM,02:28 PM,06:09 AM,05:38 PM,2,7,9,7,18,99,61,10.4,1016,10,8,36,15,Tokyo
2019-03-04,9,3,0.0,4.2,2,4,04:53 AM,03:23 PM,06:08 AM,05:39 PM,6,6,8,6,32,100,83,11.8,1006,9,6,306,23,Tokyo
2019-03-05,18,9,0.0,8.7,4,0,05:29 AM,04:18 PM,06:07 AM,05:40 PM,2,11,12,11,20,36,53,0.6,1017,18,8,67,16,Tokyo
2019-03-06,16,12,0.0,4.3,3,0,06:02 AM,05:14 PM,06:06 AM,05:40 PM,6,12,13,12,26,90,60,1.1,1018,16,9,195,20,Tokyo
2019-03-07,12,6,0.0,4.3,2,3,06:33 AM,06:09 PM,06:04 AM,05:41 PM,6,8,10,8,22,97,74,37.1,1004,12,6,65,17,Tokyo
2019-03-08,13,7,0.0,8.7,4,10,07:02 AM,07:05 PM,06:03 AM,05:42 PM,-7,7,10,7,29,23,30,0.6,1018,13,10,353,23,Tokyo
2019-03-09,16,11,0.0,8.7,3,17,07:31 AM,08:02 PM,06:02 AM,05:43 PM,-1,13,14,13,23,15,38,0.0,1026,16,10,132,18,Tokyo
2019-03-10,17,12,0.0,10.1,3,24,08:00 AM,08:59 PM,06:00 AM,05:44 PM,5,13,14,13,17,48,54,3.3,1019,17,10,218,13,Tokyo
2019-03-11,19,12,0.0,7.3,4,32,08:31 AM,09:58 PM,05:59 AM,05:45 PM,7,13,16,13,23,60,62,34.2,997,19,8,216,18,Tokyo
2019-03-12,19,15,0.0,11.6,5,39,09:05 AM,10:59 PM,05:57 AM,05:46 PM,3,17,17,17,12,2,39,0.0,1006,19,10,188,10,Tokyo
2019-03-13,17,9,0.0,11.6,4,46,09:44 AM,No moonset,05:56 AM,05:47 PM,-2,13,14,13,27,3,35,0.0,1008,17,10,278,23,Tokyo
2019-03-14,13,7,0.0,11.6,4,54,10:27 AM,12:00 AM,05:55 AM,05:47 PM,-8,8,10,8,17,10,27,0.0,1018,13,10,172,15,Tokyo
2019-03-15,14,9,0.0,11.6,3,61,11:18 AM,01:02 AM,05:53 AM,05:48 PM,-3,9,11,9,21,46,36,0.1,1020,14,10,121,17,Tokyo
2019-03-16,15,10,0.0,8.8,3,68,12:15 PM,02:03 AM,05:52 AM,05:49 PM,-2,11,12,11,17,43,38,0.3,1013,15,9,159,14,Tokyo
2019-03-17,13,9,0.0,7.4,3,75,01:20 PM,03:00 AM,05:51 AM,05:50 PM,-4,9,11,9,21,59,37,0.5,1018,13,13,172,17,Tokyo
2019-03-18,14,10,0.0,11.6,4,83,02:30 PM,03:52 AM,05:49 AM,05:51 PM,-3,10,12,10,24,3,37,0.0,1023,14,20,187,19,Tokyo
2019-03-19,18,11,0.0,11.6,5,90,03:42 PM,04:39 AM,05:48 AM,05:52 PM,2,14,14,14,18,37,43,0.0,1017,18,10,206,14,Tokyo
2019-03-20,21,15,0.0,11.6,4,97,04:54 PM,05:22 AM,05:46 AM,05:52 PM,2,18,18,18,18,22,36,0.0,1018,21,10,165,15,Tokyo
