date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-09,6,2,0.0,3.5,1,29,09:06 AM,09:26 PM,07:04 AM,04:37 PM,2,1,4,1,30,86,86,2.4,1008,6,17,223,17,Warsaw
2019-02-10,7,2,0.0,8.7,1,37,09:25 AM,10:34 PM,07:02 AM,04:39 PM,1,0,4,0,30,63,80,0.5,1008,7,14,201,19,Warsaw
2019-02-11,6,3,0.0,3.5,1,44,09:45 AM,11:44 PM,07:00 AM,04:41 PM,1,1,4,1,29,98,79,3.8,1000,6,11,238,19,Warsaw
2019-02-12,3,-0,1.2,3.7,1,52,10:07 AM,No moonset,06:58 AM,04:43 PM,-3,-4,1,-4,31,78,74,1.5,1017,3,9,311,20,Warsaw
2019-02-13,4,-1,0.0,3.7,1,60,10:33 AM,12:56 AM,06:56 AM,04:45 PM,-1,-3,2,-3,31,80,83,2.3,1025,4,10,278,19,Warsaw
2019-02-14,5,2,0.0,7.0,1,67,11:07 AM,02:09 AM,06:54 AM,04:47 PM,2,-0,3,-0,22,70,90,0.1,1031,5,13,299,14,Warsaw
2019-02-15,5,2,0.0,3.7,1,75,11:50 AM,03:21 AM,06:52 AM,04:49 PM,2,2,4,2,13,88,91,0.0,1032,5,10,274,8,Warsaw
2019-02-16,8,2,0.0,8.7,2,82,12:45 PM,04:28 AM,06:50 AM,04:50 PM,0,2,4,2,15,31,77,0.2,1028,8,12,239,9,Warsaw
2019-02-17,8,3,0.0,7.1,2,90,01:55 PM,05:28 AM,06:48 AM,04:52 PM,2,3,5,3,20,47,80,0.1,1024,8,15,282,12,Warsaw
2019-02-18,9,5,0.0,3.8,2,97,03:14 PM,06:16 AM,06:46 AM,04:54 PM,4,6,6,6,9,79,84,0.3,1023,9,12,185,6,Warsaw
2019-02-19,10,3,0.0,8.7,3,100,04:39 PM,06:55 AM,06:44 AM,04:56 PM,1,4,6,4,24,22,70,0.5,1015,10,11,219,15,Warsaw
2019-02-20,6,4,0.0,3.8,2,88,06:06 PM,07:26 AM,06:42 AM,04:58 PM,1,1,5,1,32,75,74,0.5,1016,6,10,279,21,Warsaw
2019-02-21,5,3,0.0,4.0,1,80,07:32 PM,07:53 AM,06:40 AM,05:00 PM,3,1,4,1,21,91,89,4.4,1020,5,9,254,14,Warsaw
2019-02-22,-1,-3,0.3,8.7,1,73,08:54 PM,08:16 AM,06:38 AM,05:02 PM,-10,-7,-1,-7,26,38,54,1.2,1033,-1,9,38,20,Warsaw
2019-02-23,-0,-5,0.0,4.0,1,65,10:14 PM,08:39 AM,06:36 AM,05:04 PM,-13,-5,-2,-5,12,48,43,0.0,1044,-0,18,130,8,Warsaw
2019-02-24,3,-3,0.0,7.1,1,57,11:31 PM,09:02 AM,06:34 AM,05:06 PM,-9,-3,0,-3,18,44,48,0.0,1037,3,11,276,12,Warsaw
2019-02-25,5,0,0.0,7.1,1,50,No moonrise,09:27 AM,06:32 AM,05:07 PM,-1,-1,2,-1,21,28,82,0.0,1031,5,10,290,13,Warsaw
2019-02-26,8,1,0.0,8.7,3,42,12:44 AM,09:56 AM,06:29 AM,05:09 PM,0,-0,4,-0,28,25,77,0.0,1025,8,10,318,18,Warsaw
2019-02-27,9,0,0.0,8.7,3,35,01:52 AM,10:29 AM,06:27 AM,05:11 PM,-0,2,5,2,22,20,75,0.0,1023,9,10,291,14,Warsaw
2019-02-28,9,4,0.0,8.7,2,27,02:54 AM,11:10 AM,06:25 AM,05:13 PM,1,3,7,3,33,20,69,0.0,1005,9,10,289,22,Warsaw
2019-03-01,5,0,0.0,5.6,1,26,03:49 AM,11:57 AM,06:23 AM,05:15 PM,-4,-1,3,-1,23,44,63,0.0,1009,5,10,324,16,Warsaw
