date_time;maxtempC;mintempC;totalSnow_cm;sunHour;uvIndex;moon_illumination;moonrise;moonset;sunrise;sunset;DewPointC;FeelsLikeC;HeatIndexC;WindChillC;WindGustKmph;cloudcover;humidity;precipMM;pressure;tempC;visibility;winddirDegree;windspeedKmph;location
2018-01-01;9;4;0.0;3.0;2;97;03:17 PM;06:34 AM;07:46 AM;03:34 PM;5;3;7;3;29;64;87;0.2;1004;9;10;223;16;warsaw
2018-01-02;4;1;0.0;7.9;2;100;04:22 PM;07:41 AM;07:46 AM;03:35 PM;1;-0;3;-0;17;29;88;0.0;1008;4;10;188;10;warsaw
2018-01-03;4;1;0.0;7.9;1;89;05:37 PM;08:35 AM;07:45 AM;03:36 PM;0;-1;3;-1;25;76;85;0.1;1000;4;8;201;17;warsaw
2018-01-04;6;3;0.0;3.0;2;81;06:55 PM;09:20 AM;07:45 AM;03:38 PM;2;1;5;1;30;87;79;0.0;997;6;10;216;19;warsaw
2018-01-05;8;3;0.0;3.0;2;74;08:14 PM;09:55 AM;07:45 AM;03:39 PM;2;2;6;2;33;89;77;0.1;999;8;10;211;21;warsaw
2018-01-06;8;3;0.0;6.8;2;67;09:31 PM;10:23 AM;07:44 AM;03:40 PM;4;3;5;3;18;52;90;0.0;1009;8;9;243;10;warsaw
2018-01-07;3;-1;0.1;4.9;1;59;10:45 PM;10:48 AM;07:44 AM;03:41 PM;-2;-1;2;-1;17;58;75;0.1;1026;3;7;136;11;warsaw
2018-01-08;1;-2;0.0;8.0;2;52;11:56 PM;11:11 AM;07:44 AM;03:43 PM;-7;-0;1;-0;6;0;54;0.0;1036;1;10;162;5;warsaw
2018-01-09;2;-3;0.0;8.0;2;45;No moonrise;11:33 AM;07:43 AM;03:44 PM;-7;-4;-0;-4;23;12;62;0.0;1034;2;10;122;14;warsaw
2018-01-10;2;-1;0.0;8.0;2;38;01:04 AM;11:56 AM;07:42 AM;03:45 PM;-8;-4;1;-4;28;38;54;0.0;1020;2;10;115;18;warsaw
2018-01-11;1;-2;0.0;4.9;1;30;02:11 AM;12:20 PM;07:42 AM;03:47 PM;-4;-5;-0;-5;21;69;76;0.0;1020;1;10;91;14;warsaw
2018-01-12;-1;-3;0.0;8.1;2;23;03:16 AM;12:47 PM;07:41 AM;03:48 PM;-6;-7;-2;-7;22;31;72;0.0;1032;-1;10;82;15;warsaw
2018-01-13;-1;-4;0.0;8.1;2;16;04:18 AM;01:19 PM;07:40 AM;03:50 PM;-8;-8;-3;-8;25;27;64;0.0;1038;-1;10;101;17;warsaw
2018-01-14;-5;-7;0.0;8.1;2;9;05:17 AM;01:57 PM;07:40 AM;03:51 PM;-12;-11;-6;-11;21;7;61;0.0;1036;-5;10;110;15;warsaw
2018-01-15;-5;-8;0.0;8.1;2;1;06:10 AM;02:40 PM;07:39 AM;03:53 PM;-15;-13;-7;-13;24;1;53;0.0;1028;-5;10;141;17;warsaw
2018-01-16;-2;-6;1.2;4.9;1;0;06:58 AM;03:31 PM;07:38 AM;03:55 PM;-10;-11;-4;-11;38;51;64;1.4;1004;-2;9;154;26;warsaw
2018-01-17;1;-2;0.1;3.1;1;0;07:40 AM;04:27 PM;07:37 AM;03:56 PM;-2;-5;-1;-5;28;98;90;1.4;993;1;7;243;18;warsaw
2018-01-18;1;-2;1.3;5.0;1;6;08:14 AM;05:29 PM;07:36 AM;03:58 PM;-1;-5;0;-5;29;90;89;1.5;999;1;8;215;19;warsaw
2018-01-19;1;-0;1.3;3.1;1;13;08:44 AM;06:33 PM;07:35 AM;03:59 PM;-1;-5;0;-5;34;100;90;2.6;999;1;7;278;23;warsaw
2018-01-20;0;-3;0.5;3.3;1;20;09:11 AM;07:40 PM;07:34 AM;04:01 PM;-2;-4;-1;-4;13;100;95;0.6;1009;0;4;221;8;warsaw
2018-01-21;-0;-4;0.2;3.3;1;28;09:35 AM;08:47 PM;07:33 AM;04:03 PM;-3;-5;-2;-5;12;96;94;0.2;1012;-0;6;71;8;warsaw
2018-01-22;-2;-8;0.0;5.1;1;35;09:57 AM;09:57 PM;07:31 AM;04:05 PM;-6;-9;-5;-9;15;71;92;0.1;1020;-2;9;102;9;warsaw
